,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
annRet,0.19943936889230707,0.13653407311195007,0.10580771885438989,0.11139271639261508,0.09650516866468645,0.08490099463493106,0.10113166481793083,0.08141572371283956,0.022843007038969475,0.13106297560098576
sharpe,0.046254016329145775,0.049663973853855355,0.04725024430185458,0.05454205779376806,0.05057077579704468,0.04367889252338709,0.04893039608561469,0.03691378780963886,0.00823311665615053,0.03078430293327218
turnover,0.0008949777024153188,0.0008196785696936027,0.0003336312464726015,0.0003499570560210116,0.00029106569624807283,0.00034328506095295696,0.0003690096857407535,0.00043350015131491483,0.00045976131254102853,0.0003881748298068718
maxdrawdown,0.5539400650532529,0.377604887516279,0.32443544265756413,0.279170566836223,0.30913311598464066,0.35525415387861964,0.2947560982883194,0.34750741581466416,0.5594883748965268,0.7331000123093011
